cellsR,Acta2,Adamtsl2,Adgre1,Adgrg6,Atp6v0d2,Axl,C5ar1,Ccr2,Ccr7,Cd14,Cd19,Cd207,Cd209a,Cd36,Cd3e,Cd5l,Cd79a,Cd9,Chil3,Clec10a,Clec4f,Clec9a,Clic5,Col1a1,Colec11,Cox6a2,Cx3cr1,Cxcl12,Cyp2e1,Dcn,Des,Dpt,Epcam,F13a1,Fcgr1,Flt3,Flt4,Fn1,Folr2,Gdf15,Ghr,Gja5,Gls2,Glul,Gpnmb,Grip1,Hal,Hgf,Igfbp3,Itgae,Itgax,Itgb7,Krt19,Lgr5,Lhx6,Lilra5,Lpl,Lyve1,Mafb,Marco,Mfap4,Mgl2,Mmp12,Mmrn1,Ms4a7,Msln,Myh11,Ncam1,Ngfr,Nrxn1,Olfml3,Pck1,Pdgfra,Pdgfrb,Pecam1,Plpp1,Prox1,Reln,Rspo3,Sds,Sept3,Siglech,Sirpa,Slc40a1,Sox9,Spn,Spon2,Spp1,Stab2,Svep1,Timd4,Tmem119,Trem2,Upk3b,Vsig4,Vwf,Wnt2,Wnt9b,Wt1,Xcr1,X,Y
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,13,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9363.907936507936,20.714285714285715
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,102,14,0,0,0,0,0,0,0,5,0,0,7,0,0,24,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,9,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9851.910052910052,22.714285714285715
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,22,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10341.764705882353,18.7
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,183,2,0,5,0,0,0,0,0,31,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8927.71052631579,31.954887218045112
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,632,2,0,0,0,0,0,0,3,22,0,0,15,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,34,0,0,5,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,9543.200514138818,41.087403598971726
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,15,0,1,10,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9693.018229166666,26.122395833333332
7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,422,4,0,0,0,0,0,0,3,24,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,3,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9136.077519379845,46.15891472868217
8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,118,1,0,0,0,0,0,0,4,5,0,0,4,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,13,11,1,1,0,0,0,0,1,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,10071.580952380953,41.042857142857144
9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260,3,0,0,0,0,0,0,1,22,0,1,11,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,59,0,0,3,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10167.21052631579,34.92368421052632
10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,533,1,0,0,0,0,0,0,0,30,0,2,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9226.962323390895,59.059654631083205
11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,5,0,0,1,534,9,1,1,0,0,0,0,0,117,0,3,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,6,2,0,119,0,0,0,0,22,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10412.0204778157,71.12514220705347
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,0,0,0,0,0,0,0,38,0,7,32,0,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,130,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9975.236812570145,67.82828282828282
13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,554,0,0,0,0,0,0,0,0,15,0,1,27,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9687.76273458445,98.58310991957104
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,10,0,2,10,0,0,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9809.774757281553,86.36893203883496
15,0,0,0,0,0,3,0,2,0,0,0,1,0,2,10,6,0,0,0,0,5,2,0,2,10,0,0,0,572,49,2,0,0,0,0,0,6,25,0,2,36,0,0,88,0,0,2,8,4,0,0,4,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,27,1,1,14,8,5,5,1,0,0,0,4,2,0,1,0,0,29,0,0,0,0,0,0,0,4,2,0,0,9361.487394957983,106.96743697478992
16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,230,0,0,0,0,0,0,0,0,24,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,31,0,0,2,0,10,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8971.206790123457,96.29938271604938
17,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,50,12,1,0,0,0,0,0,0,9,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,6,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,8797.506944444445,102.70138888888889
18,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,384,7,0,5,0,0,0,0,2,77,0,3,31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,23,0,0,4,4,4,2,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9058.624137931034,108.32413793103449
19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,92,0,0,0,0,0,0,0,0,24,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8680.518518518518,160.179012345679
20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,442,0,0,0,0,0,0,0,13,35,0,2,32,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,45,0,0,20,9,9,0,0,0,0,0,6,4,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,10233.354694485843,110.57377049180327
21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,347,0,2,1,0,0,0,0,1,49,0,0,34,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,53,0,0,0,1,12,1,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,8876.150579150579,120.07335907335907
22,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,455,1,0,0,0,0,0,0,1,31,0,0,19,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,55,0,0,0,0,12,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10123.010169491525,127.05593220338983
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,1,0,0,2,369,0,0,0,0,0,0,0,0,19,0,2,9,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,26,0,0,3,1,4,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9886.350584307178,138.47245409015025
24,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,5,0,0,2,804,4,0,1,0,0,0,0,11,99,0,2,52,0,3,1,0,0,8,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,10,0,0,242,0,0,4,1,25,0,0,2,0,0,2,1,1,0,3,0,19,0,0,0,1,0,1,0,1,0,0,0,10591.279757391963,117.98862774829416
25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,3,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8747.484848484848,178.3939393939394
26,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,16,0,0,2,543,29,0,0,0,0,0,0,1,13,0,4,28,0,0,92,0,0,0,7,13,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,31,1,0,4,3,4,8,0,0,0,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,9556.253333333334,147.0351515151515
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,37,0,0,3,0,0,0,0,0,21,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,37,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8529.680672268907,219.5546218487395
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,552,1,0,0,0,0,0,0,3,51,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,87,0,0,2,0,10,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9003.344283837056,210.79763469119578
29,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,1,1,0,0,0,0,0,7,23,0,1,33,0,0,40,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,63,0,0,8,4,5,0,0,0,0,0,0,1,0,0,1,0,9,0,0,1,0,0,0,0,0,0,0,0,10051.68125,209.71125
30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,586,1,0,0,0,0,0,0,1,72,0,1,54,0,1,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,76,0,0,3,0,9,0,1,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9211.351063829787,189.41843971631207
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,300,1,0,0,0,0,0,0,0,39,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,57,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8821.30612244898,206.23809523809524
32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,767,0,0,0,0,0,0,0,0,86,0,2,43,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,130,0,0,0,0,11,2,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,10433.256097560976,200.60506566604127
33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,6,0,0,0,171,24,0,0,0,0,0,0,1,17,0,0,13,0,1,0,0,0,2,7,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,27,0,2,1,1,3,2,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10670.655844155845,210.82467532467533
34,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,647,14,0,0,0,0,0,0,1,19,0,1,26,0,0,177,0,0,0,0,2,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,4,0,0,30,0,0,2,2,3,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,9471.684759916492,232.02818371607515
35,0,1,1,0,3,2,0,0,0,0,0,3,0,0,0,9,0,1,0,0,2,0,1,0,5,0,0,4,800,5,1,0,0,0,0,0,2,22,1,2,40,0,1,402,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,7,0,0,17,0,0,3,0,6,0,1,0,0,0,6,4,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,9743.42375366569,241.21627565982405
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,392,9,0,0,0,0,0,0,0,31,0,1,29,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,52,0,0,0,0,2,3,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,9130.436131386861,240.7992700729927
37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,29,0,7,22,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,64,0,0,2,0,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10281.291666666666,231.71969696969697
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,0,1,239,26,0,1,0,0,0,0,0,48,0,0,25,0,6,2,0,0,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,62,0,3,0,2,4,7,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8890.26464208243,250.22125813449023
39,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,612,0,1,0,0,1,0,0,0,35,0,4,29,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,64,0,0,1,0,4,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10202.8459563543,258.7522464698331
40,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,4,0,0,5,769,0,0,0,0,0,0,0,4,39,0,2,33,0,0,166,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,6,0,0,96,0,0,2,1,16,1,0,0,0,0,3,2,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,9916.341296928327,263.4684300341297
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,247,0,1,0,0,0,0,0,0,81,0,1,26,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,167,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8625.803992740472,246.6660617059891
42,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,5,0,0,1,502,29,0,0,0,0,0,0,6,16,0,2,24,0,0,118,0,0,0,2,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,0,18,0,0,3,15,2,7,0,0,0,0,5,1,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,9597.635,279.04625
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,327,0,0,0,0,0,0,0,0,28,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,26,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10370.814814814816,269.7185185185185
44,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1369,6,2,0,0,0,0,0,0,67,0,0,68,0,0,37,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,117,0,0,2,0,13,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,9349.101764705882,285.42823529411766
45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,230,1,0,0,0,0,0,0,2,89,0,1,41,0,4,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,2,0,15,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8735.565836298932,283.97864768683274
46,0,0,0,0,1,1,0,0,0,0,0,2,0,4,0,1,0,2,0,0,5,1,0,0,6,0,0,0,273,18,0,0,0,0,0,0,5,22,0,2,18,0,1,3,0,0,3,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,6,0,0,35,0,0,13,7,3,0,0,0,0,0,11,5,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,10631.933884297521,293.2789256198347
47,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,142,0,0,1,0,0,0,0,0,84,0,2,31,0,4,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,162,0,1,0,1,12,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8484.916129032257,298.89247311827955
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,240,0,0,0,0,0,0,0,0,69,0,1,30,0,4,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,68,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8943.190476190477,321.3537414965986
49,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,2,646,5,0,0,0,0,0,0,0,31,0,0,28,0,0,38,0,0,0,1,8,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,65,1,0,2,0,14,1,0,0,0,0,0,3,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,10131.049368541906,327.76119402985074
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,366,1,0,0,0,0,0,0,4,23,0,4,31,0,0,10,0,0,0,2,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,41,0,0,6,8,6,1,1,0,0,0,3,7,0,0,0,0,31,0,0,0,0,0,0,0,4,0,0,0,10361.675485008818,354.1710758377425
51,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,1,46,1,0,0,0,0,0,0,4,42,0,0,16,0,2,1,0,0,5,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,40,0,0,12,4,5,0,0,2,0,0,2,3,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,8597.466666666667,346.54583333333335
52,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,7,0,0,0,4,0,0,3,654,5,1,0,0,1,0,0,5,109,0,1,54,0,6,8,0,0,3,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,164,0,0,2,4,6,1,0,0,0,0,3,5,1,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,9184.876951331496,364.0422405876951
53,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,4,0,2,0,0,8,0,0,0,7,0,0,3,191,0,0,0,0,0,0,0,13,43,0,0,16,0,9,2,0,0,3,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,66,0,0,8,4,11,2,0,0,0,0,5,3,0,0,2,0,15,0,0,0,0,0,1,0,1,0,0,0,9003.16705336427,357.22505800464035
54,0,2,3,0,1,2,0,1,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,18,0,0,2,0,21,1,0,1,0,0,0,0,0,40,0,1,6,0,8,3,0,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,8,0,1,5,0,0,51,0,0,0,0,5,0,0,2,0,0,2,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,6,0,8173.7037037037035,373.47222222222223
55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,4,0,0,2,118,0,0,0,0,0,0,0,0,44,0,1,20,0,7,2,0,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,5,0,1,2,0,0,48,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7962.223443223444,409.27838827838826
56,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,1,0,0,0,203,5,0,1,0,0,0,0,0,117,0,0,50,0,4,3,0,0,8,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,241,0,0,0,0,13,2,0,2,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8430.296296296296,366.23555555555555
57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,1,12,0,0,8,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10681.806201550387,384.72093023255815
58,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,508,1,0,0,0,0,0,0,1,44,0,1,16,0,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,2,0,13,0,2,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,9953.782542113324,375.35987748851454
59,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,1,637,9,3,0,0,0,0,0,0,43,0,4,38,0,0,61,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,43,0,1,7,10,3,1,2,0,0,0,3,7,1,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,9560.038588754134,369.787210584344
60,0,1,0,0,0,3,0,0,0,0,0,2,0,2,0,6,0,0,0,0,2,1,0,0,4,0,0,0,452,12,0,0,0,0,0,0,7,50,0,2,18,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,3,0,0,30,0,0,9,12,4,0,0,0,0,0,5,2,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0,10501.854790419162,368.2215568862275
61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,360,0,0,0,0,0,0,0,1,41,0,0,25,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10571.771929824561,394.5769980506823
