cellsR,Acta2,Adamtsl2,Adgre1,Adgrg6,Atp6v0d2,Axl,C5ar1,Ccr2,Ccr7,Cd14,Cd19,Cd207,Cd209a,Cd36,Cd3e,Cd5l,Cd79a,Cd9,Chil3,Clec10a,Clec4f,Clec9a,Clic5,Col1a1,Colec11,Cox6a2,Cx3cr1,Cxcl12,Cyp2e1,Dcn,Des,Dpt,Epcam,F13a1,Fcgr1,Flt3,Flt4,Fn1,Folr2,Gdf15,Ghr,Gja5,Gls2,Glul,Gpnmb,Grip1,Hal,Hgf,Igfbp3,Itgae,Itgax,Itgb7,Krt19,Lgr5,Lhx6,Lilra5,Lpl,Lyve1,Mafb,Marco,Mfap4,Mgl2,Mmp12,Mmrn1,Ms4a7,Msln,Myh11,Ncam1,Ngfr,Nrxn1,Olfml3,Pck1,Pdgfra,Pdgfrb,Pecam1,Plpp1,Prox1,Reln,Rspo3,Sds,Sept3,Siglech,Sirpa,Slc40a1,Sox9,Spn,Spon2,Spp1,Stab2,Svep1,Timd4,Tmem119,Trem2,Upk3b,Vsig4,Vwf,Wnt2,Wnt9b,Wt1,Xcr1,X,Y
4164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,30,0,0,1,0,0,0,0,2,318,0,6,104,0,32,6,0,0,65,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,0,232,0,0,4,0,23,0,0,70,0,0,1,6,6,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,9129.061440677966,5597.333686440678
4165,0,0,2,0,0,4,0,10,0,0,0,0,4,1,18,0,0,7,0,2,0,1,1,14,3,0,3,0,0,3,1,3,0,0,0,0,0,53,0,4,12,0,4,3,0,0,8,0,0,1,3,1,0,0,1,0,2,0,3,0,0,3,2,0,0,0,0,0,9,0,0,74,0,0,0,1,2,0,0,19,1,0,11,3,1,2,4,6,0,1,0,2,0,0,0,0,0,0,0,0,3235.731629392971,5637.638977635783
4166,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,1,11,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6404.042105263158,5626.268421052631
4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,489,0,0,0,0,2,0,0,2,35,1,3,20,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,96,0,0,1,2,10,1,1,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,7052.414847161572,5608.585152838428
4168,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,107,0,0,26,0,16,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,169,0,0,0,0,8,0,0,25,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997.2160194174758,5649.866504854369
4169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6,0,0,1,325,16,0,0,0,0,0,0,0,15,0,1,9,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,38,0,0,0,3,6,3,1,0,0,1,1,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6470.7627494456765,5685.416851441241
4170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0,0,11,0,5,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,192,0,0,0,0,8,0,0,20,0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10113.941988950277,5618.138121546961
4171,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,86,0,3,22,0,9,4,0,0,13,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,1,0,120,0,0,10,1,3,1,0,23,0,0,0,4,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,555.6743515850144,5639.85878962536
4172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,75,0,0,21,0,10,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,109,0,0,0,0,4,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198.2218045112782,5664.3646616541355
4173,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,128,0,2,33,0,19,0,0,0,31,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,263,0,0,6,2,4,0,0,22,0,0,1,8,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4143.096715328467,5652.941605839416
4174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,6,0,0,2,9,0,0,2,0,6,0,0,0,0,0,0,2,129,0,2,31,0,20,3,0,0,29,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,1,0,6,1,0,326,0,0,1,0,3,4,0,30,0,0,1,8,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,5687.914463452566,5644.153965785381
4175,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,5,0,0,1,1,10,0,0,0,0,0,0,8,95,0,2,29,0,10,8,0,0,43,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,4,2,0,242,0,0,20,2,2,3,0,24,0,0,1,10,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,813.8210526315789,5649.945614035088
4176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,20,0,0,0,0,0,0,0,6,111,0,3,34,0,17,3,0,0,19,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,9,0,0,262,0,0,11,4,5,0,0,9,0,0,2,7,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5822.7569060773485,5630.769797421731
4177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140,0,2,31,0,20,1,0,0,26,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,167,0,0,1,0,3,0,0,30,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,700.9544419134396,5637.601366742597
4178,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,4,0,0,2,0,0,1,1,0,0,2,240,1,0,0,0,0,0,0,2,190,0,1,81,0,26,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,8,0,0,394,0,0,3,1,17,0,0,27,1,0,1,9,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,8021.7026266416515,5620.813320825516
4179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,100,0,1,22,0,14,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,270,0,0,4,1,8,0,0,23,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10224.328629032258,5648.110887096775
4180,0,0,5,0,2,9,1,0,0,0,0,0,0,2,0,26,0,1,0,0,38,1,0,0,5,0,1,2,135,6,2,0,0,2,1,0,4,71,0,1,37,0,12,3,0,0,14,0,1,0,0,0,0,0,2,0,0,2,5,13,0,0,0,0,0,0,0,0,3,0,0,149,0,0,2,3,7,1,0,8,0,0,8,17,1,0,1,0,18,0,0,0,0,0,7,0,0,0,0,0,4596.1558028616855,5650.542130365659
4181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,41,0,0,1,0,0,0,0,1,96,0,3,24,0,13,4,0,0,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,122,0,0,0,1,5,0,0,13,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,6003.732970027248,5636.198910081744
4182,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,1,0,0,0,5,0,0,1,0,2,1,1,0,0,0,0,4,142,0,2,32,0,17,2,0,0,28,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,1,0,6,0,0,432,0,0,5,0,9,3,0,29,0,0,0,21,2,0,0,0,8,0,0,0,0,0,1,5,0,0,0,0,10474.172634271099,5609.476982097187
